action_p1,action_p1_label,action_p2,action_p2_label,prob
0,0,0,0,0.0008
0,0,1,1,0.0036
0,0,2,2,0.0028
0,0,3,3,0.003
0,0,4,4,0.0036
0,0,5,5,0.0024
0,0,6,6,0.0034
0,0,7,7,0.002
0,0,8,8,0.0032
0,0,9,9,0.0028
0,0,10,10,0.0026
0,0,11,11,0.0032
0,0,12,12,0.0026
0,0,13,13,0.0028
0,0,14,14,0.003
0,0,15,15,0.0034
0,0,16,16,0.0032
0,0,17,17,0.0032
0,0,18,18,0.004
0,0,19,19,0.0036
1,1,0,0,0.0036
1,1,1,1,0.005
1,1,2,2,0.0028
1,1,3,3,0.0036
1,1,4,4,0.0034
1,1,5,5,0.0032
1,1,6,6,0.0036
1,1,7,7,0.0036
1,1,8,8,0.0026
1,1,9,9,0.0028
1,1,10,10,0.0024
1,1,11,11,0.0036
1,1,12,12,0.0026
1,1,13,13,0.0028
1,1,14,14,0.0026
1,1,15,15,0.003
1,1,16,16,0.0032
1,1,17,17,0.0032
1,1,18,18,0.002
1,1,19,19,0.0016
2,2,0,0,0.0022
2,2,1,1,0.002
2,2,2,2,0.0044
2,2,3,3,0.0026
2,2,4,4,0.0032
2,2,5,5,0.004
2,2,6,6,0.0034
2,2,7,7,0.004
2,2,8,8,0.001
2,2,9,9,0.0036
2,2,10,10,0.003
2,2,11,11,0.0042
2,2,12,12,0.0042
2,2,13,13,0.003
2,2,14,14,0.0018
2,2,15,15,0.002
2,2,16,16,0.0028
2,2,17,17,0.0034
2,2,18,18,0.0026
2,2,19,19,0.0044
3,3,0,0,0.002
3,3,1,1,0.0048
3,3,2,2,0.0044
3,3,3,3,0.0038
3,3,4,4,0.0028
3,3,5,5,0.0032
3,3,6,6,0.0048
3,3,7,7,0.0024
3,3,8,8,0.0048
3,3,9,9,0.0048
3,3,10,10,0.003
3,3,11,11,0.0038
3,3,12,12,0.0032
3,3,13,13,0.0032
3,3,14,14,0.003
3,3,15,15,0.0022
3,3,16,16,0.004
3,3,17,17,0.0026
3,3,18,18,0.0036
3,3,19,19,0.0036
4,4,0,0,0.0028
4,4,1,1,0.0028
4,4,2,2,0.0038
4,4,3,3,0.003
4,4,4,4,0.0028
4,4,5,5,0.0052
4,4,6,6,0.0032
4,4,7,7,0.0032
4,4,8,8,0.0028
4,4,9,9,0.0024
4,4,10,10,0.0026
4,4,11,11,0.0028
4,4,12,12,0.0032
4,4,13,13,0.0026
4,4,14,14,0.003
4,4,15,15,0.003
4,4,16,16,0.002
4,4,17,17,0.0018
4,4,18,18,0.003
4,4,19,19,0.0024
5,5,0,0,0.0052
5,5,1,1,0.0022
5,5,2,2,0.003
5,5,3,3,0.001
5,5,4,4,0.0032
5,5,5,5,0.0042
5,5,6,6,0.002
5,5,7,7,0.0038
5,5,8,8,0.0034
5,5,9,9,0.0034
5,5,10,10,0.0034
5,5,11,11,0.0032
5,5,12,12,0.0018
5,5,13,13,0.0026
5,5,14,14,0.003
5,5,15,15,0.0022
5,5,16,16,0.003
5,5,17,17,0.003
5,5,18,18,0.0032
5,5,19,19,0.0044
6,6,0,0,0.0036
6,6,1,1,0.0034
6,6,2,2,0.0028
6,6,3,3,0.0034
6,6,4,4,0.0032
6,6,5,5,0.0022
6,6,6,6,0.0034
6,6,7,7,0.003
6,6,8,8,0.0052
6,6,9,9,0.0042
6,6,10,10,0.004
6,6,11,11,0.0038
6,6,12,12,0.0026
6,6,13,13,0.0032
6,6,14,14,0.0038
6,6,15,15,0.003
6,6,16,16,0.0024
6,6,17,17,0.002
6,6,18,18,0.0036
6,6,19,19,0.0044
7,7,0,0,0.002
7,7,1,1,0.003
7,7,2,2,0.0028
7,7,3,3,0.0034
7,7,4,4,0.0022
7,7,5,5,0.0036
7,7,6,6,0.0024
7,7,7,7,0.003
7,7,8,8,0.0034
7,7,9,9,0.0046
7,7,10,10,0.004
7,7,11,11,0.0032
7,7,12,12,0.0026
7,7,13,13,0.0028
7,7,14,14,0.003
7,7,15,15,0.0028
7,7,16,16,0.0036
7,7,17,17,0.0034
7,7,18,18,0.0034
7,7,19,19,0.003
8,8,0,0,0.0036
8,8,1,1,0.0032
8,8,2,2,0.0056
8,8,3,3,0.0048
8,8,4,4,0.0028
8,8,5,5,0.003
8,8,6,6,0.0022
8,8,7,7,0.0032
8,8,8,8,0.002
8,8,9,9,0.0038
8,8,10,10,0.0034
8,8,11,11,0.0024
8,8,12,12,0.0042
8,8,13,13,0.003
8,8,14,14,0.0038
8,8,15,15,0.0036
8,8,16,16,0.0034
8,8,17,17,0.0028
8,8,18,18,0.002
8,8,19,19,0.0028
9,9,0,0,0.004
9,9,1,1,0.003
9,9,2,2,0.0028
9,9,3,3,0.0022
9,9,4,4,0.003
9,9,5,5,0.0022
9,9,6,6,0.0032
9,9,7,7,0.0032
9,9,8,8,0.002
9,9,9,9,0.0024
9,9,10,10,0.0028
9,9,11,11,0.0028
9,9,12,12,0.0034
9,9,13,13,0.002
9,9,14,14,0.0026
9,9,15,15,0.001
9,9,16,16,0.0032
9,9,17,17,0.0038
9,9,18,18,0.0024
9,9,19,19,0.0028
10,10,0,0,0.0016
10,10,1,1,0.0038
10,10,2,2,0.0036
10,10,3,3,0.0034
10,10,4,4,0.0042
10,10,5,5,0.003
10,10,6,6,0.0048
10,10,7,7,0.0032
10,10,8,8,0.003
10,10,9,9,0.0032
10,10,10,10,0.0036
10,10,11,11,0.0028
10,10,12,12,0.0032
10,10,13,13,0.0034
10,10,14,14,0.0024
10,10,15,15,0.0034
10,10,16,16,0.0018
10,10,17,17,0.0042
10,10,18,18,0.0046
10,10,19,19,0.0056
11,11,0,0,0.0044
11,11,1,1,0.004
11,11,2,2,0.003
11,11,3,3,0.0028
11,11,4,4,0.0042
11,11,5,5,0.0036
11,11,6,6,0.003
11,11,7,7,0.004
11,11,8,8,0.0016
11,11,9,9,0.0036
11,11,10,10,0.002
11,11,11,11,0.0028
11,11,12,12,0.0022
11,11,13,13,0.004
11,11,14,14,0.005
11,11,15,15,0.0036
11,11,16,16,0.0048
11,11,17,17,0.003
11,11,18,18,0.0032
11,11,19,19,0.0044
12,12,0,0,0.0028
12,12,1,1,0.0018
12,12,2,2,0.0022
12,12,3,3,0.0026
12,12,4,4,0.003
12,12,5,5,0.0022
12,12,6,6,0.003
12,12,7,7,0.0026
12,12,8,8,0.0038
12,12,9,9,0.003
12,12,10,10,0.0022
12,12,11,11,0.0042
12,12,12,12,0.0032
12,12,13,13,0.0026
12,12,14,14,0.0014
12,12,15,15,0.0012
12,12,16,16,0.0028
12,12,17,17,0.0042
12,12,18,18,0.0026
12,12,19,19,0.002
13,13,0,0,0.004
13,13,1,1,0.0044
13,13,2,2,0.003
13,13,3,3,0.0038
13,13,4,4,0.003
13,13,5,5,0.0018
13,13,6,6,0.0038
13,13,7,7,0.0026
13,13,8,8,0.0028
13,13,9,9,0.0034
13,13,10,10,0.004
13,13,11,11,0.0036
13,13,12,12,0.003
13,13,13,13,0.0044
13,13,14,14,0.0024
13,13,15,15,0.0034
13,13,16,16,0.003
13,13,17,17,0.0042
13,13,18,18,0.0032
13,13,19,19,0.0024
14,14,0,0,0.0018
14,14,1,1,0.0036
14,14,2,2,0.0018
14,14,3,3,0.0044
14,14,4,4,0.0036
14,14,5,5,0.0038
14,14,6,6,0.003
14,14,7,7,0.0032
14,14,8,8,0.0024
14,14,9,9,0.0038
14,14,10,10,0.0026
14,14,11,11,0.0032
14,14,12,12,0.004
14,14,13,13,0.0028
14,14,14,14,0.0012
14,14,15,15,0.0032
14,14,16,16,0.0022
14,14,17,17,0.0032
14,14,18,18,0.003
14,14,19,19,0.001
15,15,0,0,0.0042
15,15,1,1,0.0022
15,15,2,2,0.0038
15,15,3,3,0.003
15,15,4,4,0.0024
15,15,5,5,0.0036
15,15,6,6,0.002
15,15,7,7,0.0026
15,15,8,8,0.0028
15,15,9,9,0.0032
15,15,10,10,0.0032
15,15,11,11,0.003
15,15,12,12,0.0052
15,15,13,13,0.003
15,15,14,14,0.0042
15,15,15,15,0.003
15,15,16,16,0.002
15,15,17,17,0.003
15,15,18,18,0.0026
15,15,19,19,0.004
